epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,67.1135,0.43921,0.8561,1,0.46422,0.000551489,0.000551489,0.000551489
2,92.3739,0.29739,0.86341,1,0.32503,0.00107062,0.00107062,0.00107062
3,118.413,0.28214,0.88049,1,0.33294,0.00155308,0.00155308,0.00155308
4,143.959,0.26443,0.8561,1,0.36803,0.00150197,0.00150197,0.00150197
5,169.365,0.21602,0.9,1,0.32779,0.00144696,0.00144696,0.00144696
6,194.995,0.22869,0.90488,1,0.28879,0.00139195,0.00139195,0.00139195
7,219.17,0.17652,0.91463,1,0.25045,0.00133693,0.00133693,0.00133693
8,245.375,0.18374,0.91951,1,0.23492,0.00128192,0.00128192,0.00128192
9,271.155,0.16624,0.92439,1,0.22139,0.00122691,0.00122691,0.00122691
10,296.082,0.1565,0.92683,1,0.2875,0.0011719,0.0011719,0.0011719
11,322.357,0.15299,0.89512,1,0.23023,0.00111689,0.00111689,0.00111689
12,346.246,0.152,0.9,1,0.24142,0.00106188,0.00106188,0.00106188
13,372.014,0.1481,0.9122,1,0.21555,0.00100687,0.00100687,0.00100687
14,397.305,0.14636,0.92439,1,0.2183,0.000951857,0.000951857,0.000951857
15,423.241,0.12121,0.90976,1,0.24638,0.000896846,0.000896846,0.000896846
16,448.859,0.12644,0.90976,1,0.23713,0.000841835,0.000841835,0.000841835
17,473.027,0.11757,0.91707,1,0.29496,0.000786824,0.000786824,0.000786824
18,498.874,0.10106,0.90732,1,0.25883,0.000731813,0.000731813,0.000731813
19,524.446,0.11756,0.91463,1,0.24588,0.000676802,0.000676802,0.000676802
20,550.127,0.10891,0.90976,1,0.26211,0.000621791,0.000621791,0.000621791
21,576.48,0.10387,0.90732,1,0.27805,0.00056678,0.00056678,0.00056678
22,602.376,0.11191,0.92195,1,0.26975,0.000511769,0.000511769,0.000511769
23,627.969,0.09966,0.92195,1,0.28103,0.000456758,0.000456758,0.000456758
24,653.304,0.0922,0.92195,1,0.28134,0.000401747,0.000401747,0.000401747
25,679.012,0.08908,0.91707,1,0.28184,0.000346736,0.000346736,0.000346736
26,704.976,0.09005,0.91951,1,0.25659,0.000291725,0.000291725,0.000291725
27,730.194,0.08294,0.9122,1,0.25773,0.000236714,0.000236714,0.000236714
28,754.758,0.07926,0.91463,1,0.27842,0.000181703,0.000181703,0.000181703
29,780.503,0.08233,0.91951,1,0.25547,0.000126692,0.000126692,0.000126692
30,806.82,0.08138,0.92439,1,0.25069,7.1681e-05,7.1681e-05,7.1681e-05
